model #,dealer_name,price,location,contact_link
S2 ,Sunstretch,"NGN 2,580.00(USD 7.22)",Nigeria /Lagos,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=244&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,flipkart,INR 469.00(USD 7.36),India /India,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=97&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,SolarHippo,INR 495.00(USD 7.77),India /Haryana,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=254&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,d.light India,INR 495.00(USD 7.77),India /Gurgaon,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=275&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,Urjakart,INR 496.00(USD 7.79),India /India,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=141&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,Snapdeal,INR 539.00(USD 8.46),India /India,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=56&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,d.light Kenya,KES 950.00(USD 9.22),Kenya /Kenya,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=382&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,Daraz.pk,"PKR 1,075.00(USD 9.68)",Pakistan /Pakistan,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=112&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,UltraTec (U) Ltd,USD 10.62,Uganda /Kampala,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=159&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,Home Shopping Pakistan,"PKR 1,250.00(USD 11.25)",Pakistan /Karachi,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=324&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,Jumia Uganda,"UGX 38,000.00(USD 11.40)",Uganda /Uganda,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=569&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,SOLAR HOUSE,"NGN 4,100.00(USD 11.48)",Nigeria /Nigeria,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=214&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,Sollatek Electronics Kenya Ltd,"KES 1,218.00(USD 11.81)",Kenya /Mombasa,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=121&tx_marketplace_articlesearch%5Bcontroller%5D=Article
S2 ,GO SHOP,MYR 279.00(USD 71.28),Malaysia /Kuala Lumpur,https://www.mangoo.org/product-catalogue/productdetail/?no_cache=1&tx_marketplace_articlesearch%5Barticle%5D=271&tx_marketplace_articlesearch%5Bcontroller%5D=Article
